OTU,Size,Taxonomy
Otu001,164,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu002,207,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu003,104,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu004,173,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu005,74,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu006,27,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);
Otu007,16,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu008,96,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu009,18,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu010,442,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu011,73,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospirales_unclassified(100);Oscillospirales_unclassified(100);
Otu012,8,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Family_XI_unclassified(100);
Otu013,10,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);
Otu014,6,Bacteria(100);Planctomycetota(100);Phycisphaerae(100);Tepidisphaerales(100);WD2101_soil_group(100);WD2101_soil_group_ge(100);
Otu015,17,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu016,7,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);
Otu017,12,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu018,27,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu019,4,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);Isosphaeraceae_unclassified(100);
Otu020,3,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Murdochiella(100);
Otu021,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Marinifilaceae(100);Odoribacter(100);
Otu022,14,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospiraceae(100);Oscillospiraceae_unclassified(100);
Otu023,4,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Pirellulales(100);Pirellulaceae(100);Pirellulaceae_unclassified(100);
Otu024,114,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu025,3,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Planctomycetes_unclassified(100);Planctomycetes_unclassified(100);Planctomycetes_unclassified(100);
Otu026,8,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterellaceae_unclassified(100);
Otu027,3,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Gemmatales(100);Gemmataceae(100);Gemmataceae_unclassified(100);
Otu028,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu029,6,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Eggerthellaceae_unclassified(100);
Otu030,14,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Micrococcales_unclassified(100);Micrococcales_unclassified(100);
Otu031,2,Bacteria(100);Patescibacteria(100);Saccharimonadia(100);Saccharimonadales(100);Saccharimonadaceae(100);TM7x(100);
Otu032,2,Bacteria(100);Verrucomicrobiota(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu033,2,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Enterorhabdus(100);
Otu034,3,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriales_unclassified(100);Coriobacteriales_unclassified(100);
Otu035,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Capnocytophaga(100);
Otu036,13,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridiaceae_unclassified(100);
Otu037,2,Bacteria(100);Actinobacteriota(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);
Otu038,3,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu039,13,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu040,5,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelatoclostridiaceae_unclassified(100);
Otu041,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu042,101,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu043,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Hymenobacteraceae(100);Hymenobacter(100);
Otu044,2,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichia(100);
Otu045,2,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);Aquisphaera(100);
Otu046,2,Bacteria(100);Spirochaetota(100);Brachyspirae(100);Brachyspirales(100);Brachyspiraceae(100);Brachyspira(100);
Otu047,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu048,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);
Otu049,3,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Slackia(100);
Otu050,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Pseudoxanthomonas(100);
Otu051,11,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu052,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Spirosomaceae(100);Spirosoma(100);
Otu053,4,Bacteria(100);Cyanobacteria(100);Vampirivibrionia(100);Gastranaerophilales(100);Gastranaerophilales_fa(100);Gastranaerophilales_ge(100);
Otu054,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonas(100);
Otu055,6,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu056,10,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Propionibacteriales(100);Propionibacteriaceae(100);Propionibacteriaceae_unclassified(100);
Otu057,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Caulobacteraceae_unclassified(100);
Otu058,12,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
