OTU,Size,Taxonomy
Otu044,3,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Campylobacterales_unclassified(100);Campylobacterales_unclassified(100);
Otu045,3,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Negativibacillus(100);
Otu046,17,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Micrococcaceae(100);Micrococcaceae_unclassified(100);
Otu047,2,Bacteria(100);Planctomycetota(100);Planctomycetota_unclassified(100);Planctomycetota_unclassified(100);Planctomycetota_unclassified(100);Planctomycetota_unclassified(100);
Otu048,59,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu049,19,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Butyricicoccaceae(100);Butyricicoccus(100);
Otu050,7,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-004(100);
Otu051,10,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu052,4,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Eggerthellaceae_unclassified(100);
Otu053,4,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Barnesiellaceae(100);Coprobacter(100);
Otu054,4,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Catenibacterium(100);
Otu055,75,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu056,2,Bacteria(100);Planctomycetota(100);Phycisphaerae(100);Tepidisphaerales(100);WD2101_soil_group(100);WD2101_soil_group_ge(100);
Otu057,27,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu058,2,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Enorma(100);
Otu059,2,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichia(100);
Otu060,4,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_7(100);
Otu061,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu062,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Ralstonia(100);
Otu063,2,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu064,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonadaceae_unclassified(100);
Otu065,23,Bacteria(100);Firmicutes(100);Bacilli(100);Staphylococcales(100);Staphylococcaceae(100);Staphylococcus(100);
Otu066,2,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Selenomonadaceae(100);Megamonas(100);
Otu067,2,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Solobacterium(100);
Otu068,8,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu069,2,Bacteria(100);Verrucomicrobiota(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu070,5,Bacteria(100);Patescibacteria(100);Saccharimonadia(100);Saccharimonadales(100);Saccharimonadaceae(100);TM7x(100);
Otu071,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Latilactobacillus(100);
Otu072,2,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);Isosphaeraceae_unclassified(100);
Otu073,3,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Planctomycetes_unclassified(100);Planctomycetes_unclassified(100);Planctomycetes_unclassified(100);
Otu074,17,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu075,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Howardella(100);
Otu076,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu077,2,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu078,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Eisenbergiella(100);
Otu079,11,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu080,2,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Trueperella(100);
Otu081,2,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Arcobacteraceae(100);Arcobacter(100);
Otu082,8,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu083,11,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu084,4,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Micrococcales_unclassified(100);Micrococcales_unclassified(100);
Otu085,2,Bacteria(100);Firmicutes(100);Bacilli(100);Aneurinibacillales(100);Aneurinibacillaceae(100);Aneurinibacillus(100);
Otu086,10,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu087,4,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Rikenellaceae_unclassified(100);
Otu088,2,Bacteria(100);Actinobacteriota(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);
Otu089,3,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Ezakiella(100);
Otu090,3,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(100);Planococcaceae_unclassified(100);
Otu091,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Chitinophagales(100);Chitinophagaceae(100);Chitinophagaceae_unclassified(100);
Otu092,2,Bacteria(100);Spirochaetota(100);Brachyspirae(100);Brachyspirales(100);Brachyspiraceae(100);Brachyspira(100);
Otu093,17,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Marinifilaceae(100);Butyricimonas(100);
Otu094,2,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu095,2,Bacteria(100);Firmicutes(100);Clostridia(100);Christensenellales(100);Christensenellaceae(100);Christensenellaceae_R-7_group(100);
Otu096,5,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Dorea(100);
Otu097,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);
Otu098,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Spirosomaceae(100);Spirosoma(100);
Otu099,2,Bacteria(100);Firmicutes(100);Bacilli(100);Mycoplasmatales(100);Mycoplasmataceae(100);Ureaplasma(100);
Otu100,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);
Otu101,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(100);Solibacillus(100);
Otu102,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Succinivibrionaceae(100);Succinatimonas(100);
Otu103,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Ureibacillus(100);
