OTU,Size,Taxonomy
Otu001,172,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu002,394,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu003,107,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu004,45,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu005,41,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);
Otu006,103,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu007,20,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu008,100,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu009,99,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospirales_unclassified(100);Oscillospirales_unclassified(100);
Otu010,9,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu011,7,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu012,8,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriales_unclassified(100);Coriobacteriales_unclassified(100);
Otu013,17,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadales_unclassified(100);Pseudomonadales_unclassified(100);
Otu014,42,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospiraceae(100);Oscillospiraceae_unclassified(100);
Otu015,76,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu016,5,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Pirellulales(100);Pirellulaceae(100);uncultured(100);
Otu017,24,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu018,7,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Microbacteriaceae(100);Microbacteriaceae_unclassified(100);
Otu019,6,Bacteria(100);Actinobacteriota(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);
Otu020,5,Bacteria(100);Planctomycetota(100);Phycisphaerae(100);Tepidisphaerales(100);WD2101_soil_group(100);WD2101_soil_group_ge(100);
Otu021,5,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu022,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu023,12,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Neisseriaceae(100);Neisseriaceae_unclassified(100);
Otu024,9,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);Isosphaeraceae_unclassified(100);
Otu025,11,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu026,8,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(100);
Otu027,32,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu028,4,Bacteria(100);Firmicutes(100);Bacilli(100);RF39(100);RF39_fa(100);RF39_ge(100);
Otu029,16,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_UCG-014(100);Clostridia_UCG-014_fa(100);Clostridia_UCG-014_ge(100);
Otu030,20,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu031,10,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu032,7,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Family_XI_unclassified(100);
Otu033,4,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridium_sensu_stricto_1(100);
Otu034,4,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Weeksellaceae(100);Weeksellaceae_unclassified(100);
Otu035,4,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu036,3,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(100);Methylobacterium-Methylorubrum(100);
Otu037,9,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Xanthomonadaceae_unclassified(100);
Otu038,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu039,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Marinifilaceae(100);Odoribacter(100);
Otu040,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);
Otu041,6,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Tannerellaceae(100);Tannerellaceae_unclassified(100);
Otu042,4,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);
Otu043,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu044,12,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Corynebacteriales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu045,3,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu046,4,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcales-Tissierellales_unclassified(100);Peptostreptococcales-Tissierellales_unclassified(100);
Otu047,3,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu048,30,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu049,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu050,7,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Anaerococcus(100);
Otu051,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Marinifilaceae(100);Sanguibacteroides(100);
Otu052,22,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_9(100);
Otu053,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Pasteurellaceae(100);Haemophilus(100);
Otu054,5,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Corynebacteriales(100);Nocardiaceae(100);Nocardiaceae_unclassified(100);
Otu055,5,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Eggerthellaceae_unclassified(100);
Otu056,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(100);
Otu057,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Hymenobacteraceae(100);Hymenobacter(100);
Otu058,3,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Pirellulales(100);Pirellulaceae(100);Pirellula(100);
Otu059,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnoanaerobaculum(100);
Otu060,2,Bacteria(100);Cyanobacteria(100);Cyanobacteria_unclassified(100);Cyanobacteria_unclassified(100);Cyanobacteria_unclassified(100);Cyanobacteria_unclassified(100);
Otu061,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu062,2,Bacteria(100);Firmicutes(100);Bacilli(100);Mycoplasmatales(100);Mycoplasmataceae(100);Ureaplasma(100);
Otu063,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Capnocytophaga(100);
Otu064,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Weissella(100);
Otu065,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu066,2,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Pirellulales(100);Pirellulaceae(100);Pirellulaceae_unclassified(100);
Otu067,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_ND3007_group(100);
Otu068,2,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Dermacoccaceae(100);Kytococcus(100);
Otu069,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu070,35,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu071,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Tannerellaceae(100);Tannerella(100);
Otu072,30,Bacteria(100);Firmicutes(100);Negativicutes(100);Negativicutes_unclassified(100);Negativicutes_unclassified(100);Negativicutes_unclassified(100);
Otu073,25,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Micrococcaceae(100);Micrococcaceae_unclassified(100);
Otu074,4,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonadaceae_unclassified(100);
Otu075,2,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichia(100);
Otu076,4,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_7(100);
Otu077,26,Bacteria(100);Firmicutes(100);Bacilli(100);Paenibacillales(100);Paenibacillaceae(100);Paenibacillus(100);
Otu078,2,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomycetaceae_unclassified(100);
Otu079,2,Bacteria(100);Spirochaetota(100);Brachyspirae(100);Brachyspirales(100);Brachyspiraceae(100);Brachyspira(100);
Otu080,2,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Arcobacteraceae(100);Arcobacter(100);
Otu081,4,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridiaceae_unclassified(100);
Otu082,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Caulobacteraceae_unclassified(100);
