OTU,Size,Taxonomy
Otu001,172,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu083,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Aerococcaceae(100);Aerococcaceae_unclassified(100);
Otu084,10,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu085,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Hungatella(100);
Otu086,18,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Marinifilaceae(100);Butyricimonas(100);
Otu087,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Burkholderiaceae_unclassified(100);
Otu088,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Rhizobiaceae_unclassified(100);
Otu089,4,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelatoclostridiaceae_unclassified(100);
Otu090,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichales_unclassified(100);Erysipelotrichales_unclassified(100);
Otu091,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Alcaligenaceae_ge(100);
Otu092,4,Bacteria(100);Patescibacteria(100);Saccharimonadia(100);Saccharimonadales(100);Saccharimonadaceae(100);TM7x(100);
Otu093,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Proteocatella(100);
Otu094,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Cellulomonadaceae(100);Tropheryma(100);
Otu095,11,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu096,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Sellimonas(100);
Otu097,4,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelotrichaceae_UCG-003(100);
Otu098,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Pirellulales(100);Pirellulaceae(100);Pir4_lineage(100);
Otu099,2,Bacteria(100);Firmicutes(100);Bacilli(100);Aneurinibacillales(100);Aneurinibacillaceae(100);Aneurinibacillus(100);
Otu100,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Neisseriaceae(100);Conchiformibius(100);
Otu101,2,Bacteria(100);Verrucomicrobiota(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Akkermansiaceae(100);Akkermansia(100);
Otu102,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Planctomycetales(100);Rubinisphaeraceae(100);SH-PL14(100);
Otu103,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Gemmatales(100);Gemmataceae(100);Gemmataceae_unclassified(100);
Otu104,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Microscillaceae(100);Microscillaceae_unclassified(100);
Otu105,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Muribaculaceae(100);Muribaculum(100);
Otu106,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Rhodocyclaceae(100);Methyloversatilis(100);
Otu107,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Epulopiscium(100);
Otu108,1,Bacteria(100);Desulfobacterota(100);Desulfobulbia(100);Desulfobulbales(100);Desulfobulbaceae(100);Desulfobulbus(100);
Otu109,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Planctomycetales(100);Schlesneriaceae(100);Schlesneria(100);
Otu110,5,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillus(100);
Otu111,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Morganellaceae(100);Proteus(100);
Otu112,5,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Parvimonas(100);
Otu113,1,Bacteria(100);Firmicutes(100);Bacilli(100);Thermoactinomycetales(100);Thermoactinomycetaceae(100);Thermoactinomycetaceae_unclassified(100);
Otu114,1,Bacteria(100);Synergistota(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu115,1,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriales_Incertae_Sedis(100);Raoultibacter(100);
Otu116,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Rhodanobacteraceae(100);Dyella(100);
Otu117,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Roseomonas(100);
Otu118,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Spirosomaceae(100);Rudanella(100);
Otu119,2,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Sarcina(100);
Otu120,77,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu121,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu122,1,Bacteria(100);Patescibacteria(100);Saccharimonadia(100);Saccharimonadales(100);Saccharimonadaceae(100);Saccharimonadaceae_unclassified(100);
Otu123,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Azospirillales(100);Azospirillaceae(100);Azospirillaceae_unclassified(100);
Otu124,1,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Slackia(100);
Otu125,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Fictibacillus(100);
Otu126,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Spirosomaceae(100);Spirosoma(100);
Otu127,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);
Otu128,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Xanthobacteraceae(100);Xanthobacteraceae_unclassified(100);
Otu129,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Succinivibrionaceae(100);Succinatimonas(100);
Otu130,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcales-Tissierellales_fa(100);Anoxynatronum(100);
Otu131,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu132,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Aureimonas(100);
Otu133,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);
Otu134,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-003(100);
Otu135,4,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Gemmatales(100);Gemmataceae(100);Gemmata(100);
Otu136,9,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Tannerellaceae(100);Parabacteroides(100);
Otu137,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Succinivibrionaceae(100);Succinivibrionaceae_unclassified(100);
Otu138,1,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Atopobiaceae(100);Olsenella(100);
Otu139,1,Bacteria(100);Cyanobacteria(100);Vampirivibrionia(100);Gastranaerophilales(100);Gastranaerophilales_fa(100);Gastranaerophilales_ge(100);
Otu140,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Rikenellaceae_unclassified(100);
Otu141,1,Bacteria(100);Verrucomicrobiota(100);Lentisphaeria(100);Victivallales(100);vadinBE97(100);vadinBE97_ge(100);
Otu142,1,Bacteria(100);Myxococcota(100);Polyangia(100);mle1-27(100);mle1-27_fa(100);mle1-27_ge(100);
Otu143,1,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);uncultured(100);uncultured_ge(100);
Otu144,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Trueperella(100);
Otu145,4,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Anaerovoracaceae(100);Anaerovoracaceae_unclassified(100);
Otu146,1,Bacteria(100);Planctomycetota(100);Planctomycetota_unclassified(100);Planctomycetota_unclassified(100);Planctomycetota_unclassified(100);Planctomycetota_unclassified(100);
Otu147,5,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Eisenbergiella(100);
Otu148,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacter(100);
Otu149,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Rhodocyclaceae(100);Dechloromonas(100);
Otu150,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu151,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Pleomorphomonadaceae(100);uncultured(100);
Otu152,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Pseudoxanthomonas(100);
Otu153,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Arcanobacterium(100);
Otu154,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Vibrionaceae(100);Vibrio(100);
Otu155,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Vibrionaceae(100);Enterovibrio(100);
Otu156,1,Bacteria(100);Verrucomicrobiota(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallaceae_unclassified(100);
Otu157,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Varibaculum(100);
Otu158,1,Bacteria(100);Gemmatimonadota(100);Gemmatimonadetes(100);Gemmatimonadales(100);Gemmatimonadaceae(100);Gemmatimonadaceae_unclassified(100);
Otu159,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Fenollaria(100);
Otu160,1,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Anaerofilum(100);
Otu161,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);TRA3-20(100);TRA3-20_ge(100);
Otu162,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Novosphingobium(100);
Otu163,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Propionibacteriales(100);Propionibacteriaceae(100);Propionibacteriaceae_unclassified(100);
Otu164,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Corynebacteriales(100);Nocardiaceae(100);Williamsia(100);
Otu165,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Xanthobacteraceae(100);Afipia(100);
Otu166,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Chitinophagales(100);Chitinophagaceae(100);Chitinophagaceae_unclassified(100);
Otu167,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriales_unclassified(100);Flavobacteriales_unclassified(100);
Otu168,10,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Aeromonadaceae(100);Aeromonas(100);
Otu169,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Planctomycetales(100);Rubinisphaeraceae(100);Rubinisphaeraceae_unclassified(100);
Otu170,1,Bacteria(100);Verrucomicrobiota(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu171,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Marvinbryantia(100);
Otu172,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Microbacteriaceae(100);Leucobacter(100);
Otu173,3,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Candidatus_Stoquefichus(100);
Otu174,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptococcales(100);Peptococcaceae(100);Peptococcus(100);
Otu175,4,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospirales_fa(100);Oscillospirales_ge(100);
Otu176,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Cellvibrionaceae(100);Cellvibrionaceae_unclassified(100);
Otu177,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu178,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Cellulosilyticum(100);
Otu179,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Pasteurellaceae(100);Rodentibacter(100);
Otu180,1,Bacteria(100);Campylobacterota(100);Campylobacteria(100);Campylobacterales(100);Arcobacteraceae(100);Pseudarcobacter(100);
Otu181,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Parasporobacterium(100);
Otu182,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Filifactor(100);
Otu183,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridium_sensu_stricto_15(100);
Otu184,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);
Otu185,14,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu186,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu187,22,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridium_sensu_stricto_6(100);
Otu188,2,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Geobacillus(100);
Otu189,4,Bacteria(100);Firmicutes(100);Bacilli(100);Staphylococcales(100);Gemellaceae(100);Gemella(100);
Otu190,13,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu191,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Anaerocolumna(100);
Otu192,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Vibrionaceae(100);Grimontia(100);
