OTU,Size,Taxonomy
Otu001,1541,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu002,50,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu003,10,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu004,10,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu005,11,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);
Otu006,15,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu007,28,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu008,10,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu009,20,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu010,7,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu011,11,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu012,16,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillaceae_unclassified(100);
Otu013,27,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu014,6,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu015,19,Bacteria(100);Firmicutes(100);Bacilli(100);Staphylococcales(100);Staphylococcaceae(100);Staphylococcus(100);
Otu016,6,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu017,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu018,5,Bacteria(100);Actinobacteriota(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);
Otu019,68,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu020,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu021,5,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Aeromonadaceae(100);Aeromonas(100);
Otu022,5,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelatoclostridiaceae_unclassified(100);
Otu023,4,Bacteria(100);Firmicutes(100);Negativicutes(100);Acidaminococcales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu024,3,Bacteria(100);Firmicutes(100);Bacilli(100);Staphylococcales(100);Gemellaceae(100);Gemella(100);
Otu025,3,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelatoclostridium(100);
Otu026,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Weeksellaceae(100);Weeksellaceae_unclassified(100);
Otu027,20,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_9(100);
Otu028,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(100);
Otu029,3,Bacteria(100);Firmicutes(100);Negativicutes(100);Acidaminococcales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu030,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);
Otu031,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Morganellaceae(100);Providencia(100);
Otu032,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Leuconostoc(100);
Otu033,7,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Selenomonadaceae(100);Mitsuokella(100);
Otu034,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Neisseriaceae(100);Neisseria(100);
Otu035,4,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(100);Planococcaceae_unclassified(100);
Otu036,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Pasteurellaceae(100);Haemophilus(100);
Otu037,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadales_unclassified(100);Pseudomonadales_unclassified(100);
Otu038,2,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Selenomonadaceae(100);Megamonas(100);
Otu039,10,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu040,2,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Merdibacter(100);
Otu041,2,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalitalea(100);
Otu042,3,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu043,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Weissella(100);
Otu044,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcaceae_unclassified(100);
Otu045,5,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu046,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Xanthomonadaceae_unclassified(100);
Otu047,4,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu048,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);
Otu049,5,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Klebsiella(100);
Otu050,2,Bacteria(100);Firmicutes(100);Bacilli(100);Mycoplasmatales(100);Mycoplasmataceae(100);Ureaplasma(100);
Otu051,2,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);
Otu052,12,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu053,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Yersiniaceae(100);Yersiniaceae_unclassified(100);
Otu054,5,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Limosilactobacillus(100);
Otu055,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Latilactobacillus(100);
Otu056,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Ligilactobacillus(100);
Otu057,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lentilactobacillus(100);
Otu058,8,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelotrichaceae_UCG-003(100);
Otu059,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Barnesiellaceae(100);Coprobacter(100);
Otu060,8,Bacteria(100);Firmicutes(100);Bacilli(100);Paenibacillales(100);Paenibacillaceae(100);Paenibacillaceae_unclassified(100);
Otu061,11,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu062,2,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Catenibacterium(100);
Otu063,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Carnobacteriaceae(100);Granulicatella(100);
Otu064,4,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);
Otu065,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Pediococcus(100);
Otu066,5,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu067,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Acidovorax(100);
Otu068,3,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Burkholderiaceae_unclassified(100);
Otu069,2,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu070,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalicoccus(100);
Otu071,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Pseudoxanthomonas(100);
Otu072,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Spirosomaceae(100);Rudanella(100);
