OTU,Size,Taxonomy
Otu001,572,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu002,31,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu003,29,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);Bacteroidia_unclassified(100);
Otu004,33,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu005,30,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu006,21,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu007,12,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu008,24,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu009,18,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospiraceae(100);Oscillospiraceae_unclassified(100);
Otu010,21,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu011,36,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu012,13,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Micrococcales_unclassified(100);Micrococcales_unclassified(100);
Otu013,7,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu014,7,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_UCG-014(100);Clostridia_UCG-014_fa(100);Clostridia_UCG-014_ge(100);
Otu015,45,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu016,5,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Limosilactobacillus(100);
Otu017,4,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Anaerococcus(100);
Otu018,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-004(100);
Otu019,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospira(100);
Otu020,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Eisenbergiella(100);
Otu021,12,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu022,5,Bacteria(100);Actinobacteriota(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);Actinobacteriota_unclassified(100);
Otu023,12,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospiraceae(100);UCG-002(100);
Otu024,7,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Butyricicoccaceae(100);Butyricicoccus(100);
Otu025,3,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Sellimonas(100);
Otu026,3,Bacteria(100);Firmicutes(100);Bacilli(100);RF39(100);RF39_fa(100);RF39_ge(100);
Otu027,3,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_7(100);
Otu028,21,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_9(100);
Otu029,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lentilactobacillus(100);
Otu030,117,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Blautia(100);
Otu031,18,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu032,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Pediococcus(100);
Otu033,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Hungatella(100);
Otu034,2,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Eggerthellaceae_unclassified(100);
Otu035,2,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu036,2,Bacteria(100);Firmicutes(100);Clostridia(100);Eubacteriales(100);Eubacteriaceae(100);Eubacterium(100);
Otu037,2,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Microbacteriaceae(100);Microbacteriaceae_unclassified(100);
Otu038,6,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu039,4,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Selenomonadaceae(100);Mitsuokella(100);
Otu040,2,Bacteria(100);Patescibacteria(100);Saccharimonadia(100);Saccharimonadales(100);Saccharimonadaceae(100);TM7x(100);
Otu041,2,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospiraceae(100);UCG-003(100);
Otu042,30,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Agathobacter(100);
Otu043,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnoanaerobaculum(100);
Otu044,2,Bacteria(100);Firmicutes(100);Bacilli(100);Staphylococcales(100);Gemellaceae(100);Gemella(100);
Otu045,2,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillaceae_unclassified(100);
Otu046,2,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Merdibacter(100);
Otu047,2,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Latilactobacillus(100);
Otu048,2,Bacteria(100);Firmicutes(100);Negativicutes(100);Acidaminococcales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu049,6,Bacteria(100);Firmicutes(100);Negativicutes(100);Veillonellales-Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu050,3,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Ezakiella(100);
Otu051,3,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Weissella(100);
Otu052,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);GCA-900066755(100);
Otu053,3,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Negativibacillus(100);
Otu054,2,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Atopobiaceae(100);Atopobium(100);
Otu055,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-003(100);
Otu056,2,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu057,2,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Family_XI_unclassified(100);
